BLDG_A,,BLDG_B,BLDG_B,BLDG_C,BLDG_C,BLDG_D,BLDG_D,BLDG_E,BLDG_E,BLDG_F,BLDG_F,CENTRAL,CENTRAL
1601.712489,0,280.7502345,0,727.4294176,0,844.6040675,0,171.1146591,0,253.7172345,0,3879.328102,0
996.5424075,0,147.9661639,0,469.1495671,0,590.8989329,0,110.1280845,0,168.5375027,0,2483.222659,0
890.6978051,0,130.131935,0,424.6283116,0,535.1638902,0,102.2247935,0,154.2021938,0,2237.048929,0
811.2554621,0,118.0256183,0,387.7836337,0,487.1629026,0,96.80635266,0,141.5276281,0,2042.561597,0
771.0531557,0,114.2630118,0,369.4848788,0,458.7982579,0,95.25600759,0,134.3795126,0,1943.234824,0
678.6735771,0,98.55292987,0,328.5813308,0,409.9871566,0,87.90173386,0,119.0904549,0,1722.787183,0
677.2034109,0,100.9849467,0,330.8733567,0,412.2670517,0,90.68044932,0,120.7852597,0,1732.794475,0
874.4595203,0,145.572551,0,419.9061187,0,504.241681,0,112.8062993,0,152.4070831,0,2209.393253,0
918.9323022,0,155.7090043,0,440.7002285,0,515.3436429,0,119.6031187,0,159.8243541,0,2310.112651,0
873.3633649,0,144.2697601,0,417.765469,0,504.5477487,0,118.4471478,0,151.0631259,0,2209.456616,0
860.534802,0,138.9704618,0,416.3633768,0,516.0939999,0,119.6727284,0,151.5645785,0,2203.199947,0
943.2536594,0,155.2360019,0,456.8152031,0,565.715136,0,129.6331783,0,166.1065057,0,2416.759684,0
1016.803886,0,169.7841138,0,491.0964881,0,604.5474171,0,137.7843069,0,177.8926573,0,2597.908869,0
1066.155758,0,180.0216445,0,511.2644655,0,622.6847948,0,142.4168688,0,183.8262723,0,2706.369804,0
1049.491926,0,176.7824682,0,498.418457,0,603.5524519,0,139.3863699,0,177.6913924,0,2645.323065,0
1173.288045,0,202.6168146,0,553.0805159,0,659.016472,0,151.8616764,0,196.304949,0,2936.168473,0
1150.676284,0,195.384219,0,541.0291221,0,652.1200122,0,149.0802877,0,192.3708615,0,2880.660787,0
995.6395962,0,155.2558836,0,476.4314524,0,608.6319988,0,134.4327884,0,173.2819692,0,2543.673689,0
1112.695129,0,183.0092739,0,517.1562501,0,640.061514,0,136.5861229,0,184.7991546,0,2774.307445,0
1335.24293,0,233.3772119,0,610.738064,0,720.3103491,0,153.8165502,0,214.534761,0,3268.019866,0
1552.454545,0,279.542936,0,708.9000232,0,820.6840251,0,175.0207134,0,248.0751292,0,3784.677372,0
1845.454634,0,340.3390166,0,841.5961587,0,959.7898007,0,204.7149116,0,293.7102784,0,4485.6048,0
2144.958058,0,405.4616689,0,965.9118204,0,1074.791361,0,232.153888,0,333.3919202,0,5156.668716,0
2314.900441,0,441.9792957,0,1031.677111,0,1132.071125,0,245.6919303,0,353.7509847,0,5520.070888,0
2557.025664,0,493.6340942,0,1141.233089,0,1237.046103,0,268.7770215,0,390.8729198,0,6088.588891,0
2521.833209,0,485.1143289,0,1120.241882,0,1206.805037,0,261.59937,0,381.3561445,0,5976.949971,0
2553.555042,0,489.2346325,0,1134.313259,0,1218.622668,0,262.7961973,0,385.7500688,0,6044.271867,0
2567.485535,0,489.5560572,0,1140.4063,0,1223.293133,0,262.6527641,0,387.7555801,0,6071.14937,0
2533.963239,0,481.1459999,0,1121.034325,0,1197.673348,0,257.2102262,0,379.9060968,0,5970.933235,0
2543.197866,0,480.8415378,0,1126.688541,0,1205.839622,0,258.0098576,0,382.5587088,0,5997.136133,0
2438.357179,0,462.731299,0,1087.448046,0,1097.071889,0,251.1308404,0,363.913444,0,5700.652697,0
2415.396929,0,456.3847309,0,1077.575568,0,1087.263406,0,248.630058,0,360.6410386,0,5645.89173,0
2426.308718,0,468.4083114,0,1096.02965,0,1062.420898,0,256.4883565,0,365.9340906,0,5675.590024,0
2583.310321,0,495.5113973,0,1169.743278,0,1128.922201,0,274.9398893,0,390.7688524,0,6043.195938,0
2553.176494,0,486.4481404,0,1160.461195,0,1122.894038,0,272.8700304,0,387.3848142,0,5983.234712,0
2521.793255,0,476.9939597,0,1150.729647,0,1118.940908,0,270.2726265,0,384.3465737,0,5923.07697,0
2546.790569,0,478.2638847,0,1161.836102,0,1142.192491,0,272.1360534,0,388.6516926,0,5989.870792,0
2604.923976,0,492.5359332,0,1193.042457,0,1160.686335,0,280.1188377,0,398.3859307,0,6129.693469,0
2618.44382,0,495.262499,0,1197.235164,0,1163.420767,0,281.3662578,0,399.0857235,0,6154.814232,0
2567.836368,0,482.2310841,0,1176.342286,0,1148.937361,0,276.4791558,0,392.8294046,0,6044.655659,0
2419.215389,0,447.0219371,0,1113.085028,0,1098.889493,0,262.1470196,0,373.1974021,0,5713.556268,0
2128.342699,0,372.9919234,0,981.6486014,0,1016.300901,0,231.1963585,0,333.5678957,0,5064.048379,0
2086.590654,0,368.3101383,0,950.2044934,0,1020.799829,0,223.8360875,0,324.9523429,0,4974.693545,0
2212.050564,0,399.1766462,0,1012.088767,0,1069.068135,0,236.0006901,0,346.2294702,0,5274.614272,0
2173.004691,0,390.7726749,0,990.558571,0,1040.699054,0,229.674465,0,337.8235624,0,5162.533018,0
1987.016561,0,350.736546,0,902.4224092,0,956.5440653,0,208.9255477,0,307.453091,0,4713.098221,0
2150.742491,0,382.4347661,0,971.7745034,0,1087.542029,0,222.8847152,0,336.5737086,0,5151.952213,0
2150.45123,0,384.0993383,0,973.5473956,0,1084.479684,0,223.1332311,0,337.2402978,0,5152.951177,0
2167.081041,0,389.7745414,0,979.1699805,0,1084.937913,0,224.4386708,0,338.6506737,0,5184.05282,0
2298.071575,0,417.5232621,0,1049.11271,0,1164.464274,0,240.9698922,0,365.7579263,0,5535.899639,0
2303.48092,0,419.4034488,0,1057.217304,0,1176.2188,0,243.5496932,0,370.157278,0,5570.027443,0
2220.415927,0,403.8553857,0,1019.510521,0,1135.053499,0,235.9377758,0,357.1208498,0,5371.893957,0
2001.727531,0,360.0121832,0,915.2628326,0,1021.528545,0,213.0501764,0,319.6703991,0,4831.251667,0
1891.95987,0,336.2025604,0,864.4284637,0,970.7704374,0,201.7309858,0,302.0419832,0,4567.1343,0
1822.079354,0,326.1039224,0,841.9417199,0,876.5123721,0,199.0895184,0,289.4667387,0,4355.193625,0
1731.051945,0,307.6437567,0,798.3466823,0,833.2880897,0,189.5991347,0,274.0081814,0,4133.93779,0
1607.381246,0,289.8183095,0,746.7101309,0,733.3543871,0,180.6024074,0,252.5185431,0,3810.385024,0
1548.506966,0,275.1086537,0,726.2652864,0,706.9009503,0,177.1394332,0,245.0246534,0,3678.945943,0
1443.80943,0,252.0084062,0,681.8090432,0,670.0650479,0,168.4231443,0,231.964319,0,3448.079391,0
1331.116153,0,225.8844257,0,634.8099348,0,632.8298759,0,158.2349465,0,217.4670901,0,3200.342426,0
1313.634431,0,220.4372209,0,627.2007802,0,637.7962825,0,157.0652426,0,216.4408265,0,3172.574784,0
1489.993045,0,262.3491759,0,715.5347813,0,708.357945,0,179.3384733,0,246.5832168,0,3602.156637,0
1491.75526,0,264.8206614,0,712.614108,0,702.7198605,0,179.7408379,0,244.5026285,0,3596.153357,0
1442.748577,0,256.0143596,0,688.8850182,0,681.7304869,0,175.6153431,0,236.3082159,0,3481.302001,0
1375.682648,0,240.5367779,0,664.5777909,0,667.1415597,0,171.624904,0,230.0217982,0,3349.585479,0
1255.367185,0,204.3842683,0,614.2340227,0,661.5847817,0,160.8682558,0,218.3530401,0,3114.791553,0
1406.095002,0,239.6784198,0,672.3111788,0,730.3938562,0,170.1384471,0,236.7698986,0,3455.386802,0
1625.237567,0,290.468172,0,767.5243238,0,815.842882,0,190.8701374,0,267.0091319,0,3956.952214,0
1672.318028,0,301.7880209,0,784.1667318,0,831.3356161,0,194.1436541,0,271.9239011,0,4055.675952,0
1846.356174,0,338.4646523,0,866.5855301,0,909.8144223,0,212.9083093,0,301.7594853,0,4475.888574,0
2262.702816,0,422.4178191,0,1041.075342,0,1174.983326,0,249.6946523,0,367.4235871,0,5518.297542,0
2680.217571,0,513.2914789,0,1224.337687,0,1349.989363,0,290.4209442,0,428.1948059,0,6486.45185,0
3006.093299,0,581.8705802,0,1366.6067,0,1489.480065,0,320.4305661,0,475.020568,0,7239.501778,0
3116.653399,0,602.4230093,0,1410.033155,0,1528.012461,0,327.4987603,0,487.5929033,0,7472.213688,0
3027.810489,0,580.2606428,0,1358.781838,0,1465.920375,0,312.7838302,0,466.5889922,0,7212.146167,0
3076.185413,0,586.0443855,0,1379.872634,0,1487.790853,0,315.0139299,0,473.6106633,0,7318.517879,0
3084.609414,0,584.1013415,0,1383.283555,0,1491.324391,0,313.7234908,0,474.7131732,0,7331.755366,0
2990.738893,0,561.58601,0,1336.509119,0,1440.597634,0,301.6896709,0,457.6010316,0,7088.722358,0
2820.880626,0,531.2200926,0,1264.762355,0,1273.704193,0,287.3472674,0,425.0628861,0,6602.977419,0
2902.311638,0,546.3544145,0,1307.057932,0,1313.295498,0,296.6059172,0,440.4791857,0,6806.104586,0
2865.18252,0,551.0846006,0,1305.181208,0,1270.564112,0,299.8894649,0,438.819577,0,6730.721483,0
2809.088179,0,532.9909383,0,1276.178601,0,1244.39886,0,294.5805539,0,428.3467396,0,6585.583871,0
2699.709134,0,506.6016143,0,1226.448497,0,1200.12789,0,283.4990876,0,411.1732862,0,6327.559508,0
2566.853025,0,476.6456789,0,1168.42195,0,1148.688415,0,270.242358,0,391.2421485,0,6022.093575,0
2432.74329,0,445.1556016,0,1104.636444,0,1099.084199,0,255.3310535,0,369.3146908,0,5706.265279,0
2313.734881,0,423.1791587,0,1053.304149,0,1036.672064,0,244.8659058,0,349.9601149,0,5421.716273,0
2168.995822,0,393.4869439,0,986.7945165,0,970.2501603,0,230.5319402,0,326.3324489,0,5076.391832,0
2034.469107,0,365.8108195,0,923.7407289,0,911.1803876,0,217.3331595,0,304.6575832,0,4757.191785,0
1767.782734,0,308.4160955,0,802.1888027,0,803.9620174,0,190.9635278,0,264.593653,0,4137.90683,0
1521.58506,0,247.265914,0,690.3963447,0,737.6434841,0,166.2661377,0,232.0514211,0,3595.208361,0
1563.489894,0,262.3487664,0,695.6468359,0,771.9721531,0,168.3292756,0,233.8172951,0,3695.60422,0
1667.099942,0,291.7005303,0,751.759994,0,820.4251638,0,180.8671826,0,254.9484667,0,3966.80128,0
