BLDG_A,BLDG_B,BLDG_C,BLDG_D,BLDG_E,BLDG_F,CENTRAL
1601.71,280.75,727.429,844.604,171.115,253.717,3879.33
996.542,147.966,469.15,590.899,110.128,168.538,2483.22
890.698,130.132,424.628,535.164,102.225,154.202,2237.05
811.255,118.026,387.784,487.163,96.8064,141.528,2042.56
771.053,114.263,369.485,458.798,95.256,134.38,1943.23
678.674,98.5529,328.581,409.987,87.9017,119.09,1722.79
677.203,100.985,330.873,412.267,90.6804,120.785,1732.79
874.46,145.573,419.906,504.242,112.806,152.407,2209.39
918.932,155.709,440.7,515.344,119.603,159.824,2310.11
873.363,144.27,417.765,504.548,118.447,151.063,2209.46
860.535,138.97,416.363,516.094,119.673,151.565,2203.2
943.254,155.236,456.815,565.715,129.633,166.107,2416.76
1016.8,169.784,491.096,604.547,137.784,177.893,2597.91
1066.16,180.022,511.264,622.685,142.417,183.826,2706.37
1049.49,176.782,498.418,603.552,139.386,177.691,2645.32
1173.29,202.617,553.081,659.016,151.862,196.305,2936.17
1150.68,195.384,541.029,652.12,149.08,192.371,2880.66
995.64,155.256,476.431,608.632,134.433,173.282,2543.67
1112.7,183.009,517.156,640.062,136.586,184.799,2774.31
1335.24,233.377,610.738,720.31,153.817,214.535,3268.02
1552.45,279.543,708.9,820.684,175.021,248.075,3784.68
1845.45,340.339,841.596,959.79,204.715,293.71,4485.6
2144.96,405.462,965.912,1074.79,232.154,333.392,5156.67
2314.9,441.979,1031.68,1132.07,245.692,353.751,5520.07
2557.03,493.634,1141.23,1237.05,268.777,390.873,6088.59
2521.83,485.114,1120.24,1206.81,261.599,381.356,5976.95
2553.56,489.235,1134.31,1218.62,262.796,385.75,6044.27
2567.49,489.556,1140.41,1223.29,262.653,387.756,6071.15
2533.96,481.146,1121.03,1197.67,257.21,379.906,5970.93
2543.2,480.842,1126.69,1205.84,258.01,382.559,5997.14
2438.36,462.731,1087.45,1097.07,251.131,363.913,5700.65
2415.4,456.385,1077.58,1087.26,248.63,360.641,5645.89
2426.31,468.408,1096.03,1062.42,256.488,365.934,5675.59
2583.31,495.511,1169.74,1128.92,274.94,390.769,6043.2
2553.18,486.448,1160.46,1122.89,272.87,387.385,5983.23
2521.79,476.994,1150.73,1118.94,270.273,384.347,5923.08
2546.79,478.264,1161.84,1142.19,272.136,388.652,5989.87
2604.92,492.536,1193.04,1160.69,280.119,398.386,6129.69
2618.44,495.262,1197.24,1163.42,281.366,399.086,6154.81
2567.84,482.231,1176.34,1148.94,276.479,392.829,6044.66
2419.22,447.022,1113.09,1098.89,262.147,373.197,5713.56
2128.34,372.992,981.649,1016.3,231.196,333.568,5064.05
2086.59,368.31,950.204,1020.8,223.836,324.952,4974.69
2212.05,399.177,1012.09,1069.07,236.001,346.229,5274.61
2173,390.773,990.559,1040.7,229.674,337.824,5162.53
1987.02,350.737,902.422,956.544,208.926,307.453,4713.1
2150.74,382.435,971.775,1087.54,222.885,336.574,5151.95
2150.45,384.099,973.547,1084.48,223.133,337.24,5152.95
